"dataset","model","metric","value"
"simulation_1","repo","interaction_draws_checked",100
"simulation_1","repo","interaction_margin_max",3.56825680114525e-13
"simulation_1","repo","sixth_singular_value_max",4.3655704422094e-14
"simulation_1","semi","interaction_draws_checked",100
"simulation_1","semi","interaction_margin_max",4.19442258703384e-13
"simulation_1","semi","sixth_singular_value_max",4.39202415593262e-14
"simulation_1","semi","frame_column_sum_max",6.34839999996001e-08
"simulation_1","semi","frame_orthogonality_error_max",2.07234658322619e-08
"simulation_1","semi","spectrum_order_error_max",0
"simulation_1","semi","spectrum_norm_error_max",1.72817411492332e-08
"simulation_1","semi","interaction_rms_error_max",2.25317451363338e-08
"simulation_1","semi","native_vector_sum_max",4.99299997347435e-07
"simulation_2","repo","interaction_draws_checked",100
"simulation_2","repo","interaction_margin_max",5.12034858957122e-13
"simulation_2","repo","sixth_singular_value_max",6.41606077203807e-14
"simulation_2","semi","interaction_draws_checked",100
"simulation_2","semi","interaction_margin_max",4.54802862037695e-13
"simulation_2","semi","sixth_singular_value_max",5.69263659304786e-14
"simulation_2","semi","frame_column_sum_max",6.12699997196153e-08
"simulation_2","semi","frame_orthogonality_error_max",2.20594125188711e-08
"simulation_2","semi","spectrum_order_error_max",0
"simulation_2","semi","spectrum_norm_error_max",1.59378260589094e-08
"simulation_2","semi","interaction_rms_error_max",2.98465034909157e-08
"simulation_2","semi","native_vector_sum_max",5.21999999669731e-07
