"dataset","model","component","metric","value"
"simulation_1","repo","theta","n",2000
"simulation_1","repo","theta","rhat_max",1.00397298322249
"simulation_1","repo","theta","rhat_q99",1.00230900501333
"simulation_1","repo","theta","rhat_gt_1_01",0
"simulation_1","repo","theta","ess_bulk_min",3454.94534666021
"simulation_1","repo","theta","ess_bulk_q10",4070.9971781269
"simulation_1","repo","theta","ess_bulk_median",4541.10678986237
"simulation_1","repo","theta","ess_tail_min",2807.93124251236
"simulation_1","repo","theta","ess_tail_q10",3320.06524322356
"simulation_1","repo","theta","ess_tail_median",3633.70571229254
"simulation_1","repo","interaction","n",2000
"simulation_1","repo","interaction","rhat_max",1.00383333156485
"simulation_1","repo","interaction","rhat_q99",1.00224152943822
"simulation_1","repo","interaction","rhat_gt_1_01",0
"simulation_1","repo","interaction","ess_bulk_min",3372.04677032213
"simulation_1","repo","interaction","ess_bulk_q10",4031.49449294435
"simulation_1","repo","interaction","ess_bulk_median",4429.23376815635
"simulation_1","repo","interaction","ess_tail_min",2647.37816545941
"simulation_1","repo","interaction","ess_tail_q10",3355.99422012013
"simulation_1","repo","interaction","ess_tail_median",3651.49737624266
"simulation_1","repo","additive","n",121
"simulation_1","repo","additive","rhat_max",1.00283909259394
"simulation_1","repo","additive","rhat_q99",1.00276391158621
"simulation_1","repo","additive","rhat_gt_1_01",0
"simulation_1","repo","additive","ess_bulk_min",3791.11820444888
"simulation_1","repo","additive","ess_bulk_q10",4378.83792775626
"simulation_1","repo","additive","ess_bulk_median",5007.64919808716
"simulation_1","repo","additive","ess_tail_min",2778.30504976301
"simulation_1","repo","additive","ess_tail_q10",3227.29646973118
"simulation_1","repo","additive","ess_tail_median",3550.5538203167
"simulation_1","semi","theta","n",2000
"simulation_1","semi","theta","rhat_max",1.0057819224933
"simulation_1","semi","theta","rhat_q99",1.00376890317906
"simulation_1","semi","theta","rhat_gt_1_01",0
"simulation_1","semi","theta","ess_bulk_min",3213.27422761011
"simulation_1","semi","theta","ess_bulk_q10",5355.30073798355
"simulation_1","semi","theta","ess_bulk_median",6514.61510596192
"simulation_1","semi","theta","ess_tail_min",1933.13378785879
"simulation_1","semi","theta","ess_tail_q10",2817.88559029127
"simulation_1","semi","theta","ess_tail_median",3170.99901579537
"simulation_1","semi","interaction","n",2000
"simulation_1","semi","interaction","rhat_max",1.00551853919891
"simulation_1","semi","interaction","rhat_q99",1.00382701543586
"simulation_1","semi","interaction","rhat_gt_1_01",0
"simulation_1","semi","interaction","ess_bulk_min",2678.51478869175
"simulation_1","semi","interaction","ess_bulk_q10",5014.74267095677
"simulation_1","semi","interaction","ess_bulk_median",6232.82201332286
"simulation_1","semi","interaction","ess_tail_min",2110.70508316619
"simulation_1","semi","interaction","ess_tail_q10",2855.79300966587
"simulation_1","semi","interaction","ess_tail_median",3192.91721872196
"simulation_1","semi","additive","n",121
"simulation_1","semi","additive","rhat_max",1.00514818406718
"simulation_1","semi","additive","rhat_q99",1.00501996876543
"simulation_1","semi","additive","rhat_gt_1_01",0
"simulation_1","semi","additive","ess_bulk_min",5681.33725353249
"simulation_1","semi","additive","ess_bulk_q10",6873.22629484404
"simulation_1","semi","additive","ess_bulk_median",7749.82308756809
"simulation_1","semi","additive","ess_tail_min",2216.24594046885
"simulation_1","semi","additive","ess_tail_q10",2521.62654201088
"simulation_1","semi","additive","ess_tail_median",2807.39755979159
"simulation_1","semi","spectrum","n",6
"simulation_1","semi","spectrum","rhat_max",1.00962990236118
"simulation_1","semi","spectrum","rhat_q99",1.00957723089602
"simulation_1","semi","spectrum","rhat_gt_1_01",0
"simulation_1","semi","spectrum","ess_bulk_min",431.004389186506
"simulation_1","semi","spectrum","ess_bulk_q10",501.815091770292
"simulation_1","semi","spectrum","ess_bulk_median",4099.50832402051
"simulation_1","semi","spectrum","ess_tail_min",684.180832729291
"simulation_1","semi","spectrum","ess_tail_q10",696.434179502491
"simulation_1","semi","spectrum","ess_tail_median",2744.50498051113
"simulation_2","repo","theta","n",2000
"simulation_2","repo","theta","rhat_max",1.0039482464902
"simulation_2","repo","theta","rhat_q99",1.00218648940459
"simulation_2","repo","theta","rhat_gt_1_01",0
"simulation_2","repo","theta","ess_bulk_min",3101.18469090136
"simulation_2","repo","theta","ess_bulk_q10",4248.05781275498
"simulation_2","repo","theta","ess_bulk_median",4779.45304342057
"simulation_2","repo","theta","ess_tail_min",2746.45333259404
"simulation_2","repo","theta","ess_tail_q10",3332.83447795302
"simulation_2","repo","theta","ess_tail_median",3629.7407352112
"simulation_2","repo","interaction","n",2000
"simulation_2","repo","interaction","rhat_max",1.0033193811574
"simulation_2","repo","interaction","rhat_q99",1.00234076239083
"simulation_2","repo","interaction","rhat_gt_1_01",0
"simulation_2","repo","interaction","ess_bulk_min",2830.87076832405
"simulation_2","repo","interaction","ess_bulk_q10",4063.02150089045
"simulation_2","repo","interaction","ess_bulk_median",4603.41845668077
"simulation_2","repo","interaction","ess_tail_min",2598.65028274605
"simulation_2","repo","interaction","ess_tail_q10",3346.23747902567
"simulation_2","repo","interaction","ess_tail_median",3654.74555821943
"simulation_2","repo","additive","n",121
"simulation_2","repo","additive","rhat_max",1.00386626071754
"simulation_2","repo","additive","rhat_q99",1.00250566179576
"simulation_2","repo","additive","rhat_gt_1_01",0
"simulation_2","repo","additive","ess_bulk_min",4051.63859157259
