"dataset","model","metric","value"
"simulation_1","repo","rmse_observed",0.819137974272251
"simulation_1","repo","mae_observed",0.642027265520445
"simulation_1","repo","rmse_truth_theta",0.55760706001996
"simulation_1","repo","cor_truth_theta",0.990003242418223
"simulation_1","repo","coverage90_truth_theta",0.9015
"simulation_1","repo","mean_sd_theta",0.558161802662523
"simulation_1","repo","mean_ci90_width_theta",1.83376103059657
"simulation_1","repo","rmse_truth_interaction",0.501537003056224
"simulation_1","repo","cor_truth_interaction",0.963251212234681
"simulation_1","repo","coverage90_truth_interaction",0.9035
"simulation_1","repo","mean_sd_interaction",0.500008704128981
"simulation_1","repo","predictive_coverage90_y",0.9765
"simulation_1","repo","predictive_width90_y",3.77395451644555
"simulation_1","repo","ppc_mse_median",1.98951468086617
"simulation_1","repo","ppc_mse_q05",1.89662198131606
"simulation_1","repo","ppc_mse_q95",2.08588415562366
"simulation_1","repo","bayes_r2_median",0.939800513715873
"simulation_1","repo","elpd_loo",-3211.16722040432
"simulation_1","repo","elpd_loo_se",32.0380692401424
"simulation_1","repo","p_loo",582.224306509394
"simulation_1","repo","looic",6422.33444080865
"simulation_1","repo","pareto_k_gt_0_7",95
"simulation_1","repo","pareto_k_max",0.974352332361508
"simulation_1","semi","rmse_observed",0.821828853568139
"simulation_1","semi","mae_observed",0.644494525583953
"simulation_1","semi","rmse_truth_theta",0.55875047944374
"simulation_1","semi","cor_truth_theta",0.989961926786039
"simulation_1","semi","coverage90_truth_theta",0.901
"simulation_1","semi","mean_sd_theta",0.556063589907776
"simulation_1","semi","mean_ci90_width_theta",1.82745226598717
"simulation_1","semi","rmse_truth_interaction",0.503152880311251
"simulation_1","semi","cor_truth_interaction",0.963011767508794
"simulation_1","semi","coverage90_truth_interaction",0.9035
"simulation_1","semi","mean_sd_interaction",0.497531978992626
"simulation_1","semi","predictive_coverage90_y",0.9745
"simulation_1","semi","predictive_width90_y",3.77051752305302
"simulation_1","semi","ppc_mse_median",1.99194835665128
"simulation_1","semi","ppc_mse_q05",1.89893271492203
"simulation_1","semi","ppc_mse_q95",2.08624041356596
"simulation_1","semi","bayes_r2_median",0.939793188688941
"simulation_1","semi","elpd_loo",-3210.57408102031
"simulation_1","semi","elpd_loo_se",32.1889178999811
"simulation_1","semi","p_loo",579.151454151486
"simulation_1","semi","looic",6421.14816204062
"simulation_1","semi","pareto_k_gt_0_7",88
"simulation_1","semi","pareto_k_max",1.2239995339228
"simulation_2","repo","rmse_observed",0.834707558787254
"simulation_2","repo","mae_observed",0.658947304774772
"simulation_2","repo","rmse_truth_theta",0.548679070898816
"simulation_2","repo","cor_truth_theta",0.992693527460193
"simulation_2","repo","coverage90_truth_theta",0.919
"simulation_2","repo","mean_sd_theta",0.553319911385574
"simulation_2","repo","mean_ci90_width_theta",1.81784970051587
"simulation_2","repo","rmse_truth_interaction",0.493472293900191
"simulation_2","repo","cor_truth_interaction",0.976014578702956
"simulation_2","repo","coverage90_truth_interaction",0.92
"simulation_2","repo","mean_sd_interaction",0.493564789452342
"simulation_2","repo","predictive_coverage90_y",0.9685
"simulation_2","repo","predictive_width90_y",3.77065896107319
"simulation_2","repo","ppc_mse_median",2.01499703641289
"simulation_2","repo","ppc_mse_q05",1.92143592897803
"simulation_2","repo","ppc_mse_q95",2.11155071341912
"simulation_2","repo","bayes_r2_median",0.953302914452292
"simulation_2","repo","elpd_loo",-3262.95553319975
"simulation_2","repo","elpd_loo_se",33.4256331024083
"simulation_2","repo","p_loo",615.811047491286
"simulation_2","repo","looic",6525.91106639951
"simulation_2","repo","pareto_k_gt_0_7",124
"simulation_2","repo","pareto_k_max",1.19018355380527
"simulation_2","semi","rmse_observed",0.838992374799957
"simulation_2","semi","mae_observed",0.662489114154245
"simulation_2","semi","rmse_truth_theta",0.548601068539542
"simulation_2","semi","cor_truth_theta",0.992696233463501
"simulation_2","semi","coverage90_truth_theta",0.9155
"simulation_2","semi","mean_sd_theta",0.550262717263155
"simulation_2","semi","mean_ci90_width_theta",1.80802037886208
"simulation_2","semi","rmse_truth_interaction",0.493338656716579
"simulation_2","semi","cor_truth_interaction",0.976051372724706
"simulation_2","semi","coverage90_truth_interaction",0.9155
"simulation_2","semi","mean_sd_interaction",0.489646051275967
"simulation_2","semi","predictive_coverage90_y",0.967
"simulation_2","semi","predictive_width90_y",3.76692874483969
"simulation_2","semi","ppc_mse_median",2.01914609837076
"simulation_2","semi","ppc_mse_q05",1.92545934097632
"simulation_2","semi","ppc_mse_q95",2.1167574547228
"simulation_2","semi","bayes_r2_median",0.953292442017343
"simulation_2","semi","elpd_loo",-3260.27198904231
"simulation_2","semi","elpd_loo_se",33.2699833109047
"simulation_2","semi","p_loo",609.287799969144
"simulation_2","semi","looic",6520.54397808461
"simulation_2","semi","pareto_k_gt_0_7",127
"simulation_2","semi","pareto_k_max",1.06559523708967
