"dataset","model","metric","value"
"simulation_1","repo","n",600
"simulation_1","repo","rhat_max",1.03582623222851
"simulation_1","repo","rhat_q99",1.02986124341331
"simulation_1","repo","rhat_gt_1_01",403
"simulation_1","repo","ess_bulk_min",159.189811460082
"simulation_1","repo","ess_bulk_median",313.826476623074
"simulation_1","repo","ess_tail_min",279.726742427438
"simulation_1","repo","ess_tail_median",765.316600025853
"simulation_1","semi","n",570
"simulation_1","semi","rhat_max",2.44405213980188
"simulation_1","semi","rhat_q99",2.11097851687044
"simulation_1","semi","rhat_gt_1_01",568
"simulation_1","semi","ess_bulk_min",4.87121101351115
"simulation_1","semi","ess_bulk_median",6.41001543853921
"simulation_1","semi","ess_tail_min",23.957943849022
"simulation_1","semi","ess_tail_median",71.7180017347243
"simulation_2","repo","n",600
"simulation_2","repo","rhat_max",1.08198617500919
"simulation_2","repo","rhat_q99",1.06927261532718
"simulation_2","repo","rhat_gt_1_01",560
"simulation_2","repo","ess_bulk_min",54.7642455271723
"simulation_2","repo","ess_bulk_median",168.811402013273
"simulation_2","repo","ess_tail_min",49.3657352004793
"simulation_2","repo","ess_tail_median",488.201373820971
"simulation_2","semi","n",570
"simulation_2","semi","rhat_max",2.66447633210274
"simulation_2","semi","rhat_q99",2.15848339338382
"simulation_2","semi","rhat_gt_1_01",473
"simulation_2","semi","ess_bulk_min",4.71469832484637
"simulation_2","semi","ess_bulk_median",7.17966785905093
"simulation_2","semi","ess_tail_min",25.2766979915095
"simulation_2","semi","ess_tail_median",71.6466907500513
