"dataset","model","metric","value"
"simulation_1","repo","divergences",0
"simulation_1","repo","treedepth_hits",0
"simulation_1","repo","ebfmi_min",0.784170090706686
"simulation_1","repo","ebfmi_median",0.892934251678502
"simulation_1","repo","accept_mean",0.8698496938375
"simulation_1","repo","leapfrog_median",127
"simulation_1","repo","leapfrog_q90",511
"simulation_1","repo","leapfrog_q99",1023
"simulation_1","repo","leapfrog_mean",216.288
"simulation_1","repo","warmup_max_chain_seconds",27.187
"simulation_1","repo","sampling_max_chain_seconds",24.171
"simulation_1","repo","total_max_chain_seconds",51.047
"simulation_1","semi","divergences",0
"simulation_1","semi","treedepth_hits",0
"simulation_1","semi","ebfmi_min",0.667875405792249
"simulation_1","semi","ebfmi_median",0.696938416679885
"simulation_1","semi","accept_mean",0.8811951980525
"simulation_1","semi","leapfrog_median",31
"simulation_1","semi","leapfrog_q90",63
"simulation_1","semi","leapfrog_q99",63
"simulation_1","semi","leapfrog_mean",39
"simulation_1","semi","warmup_max_chain_seconds",24.404
"simulation_1","semi","sampling_max_chain_seconds",25.397
"simulation_1","semi","total_max_chain_seconds",49.801
"simulation_2","repo","divergences",0
"simulation_2","repo","treedepth_hits",0
"simulation_2","repo","ebfmi_min",0.781507660129613
"simulation_2","repo","ebfmi_median",0.835896363344459
"simulation_2","repo","accept_mean",0.8705946244225
"simulation_2","repo","leapfrog_median",127
"simulation_2","repo","leapfrog_q90",447
"simulation_2","repo","leapfrog_q99",895
"simulation_2","repo","leapfrog_mean",175
"simulation_2","repo","warmup_max_chain_seconds",22.47
"simulation_2","repo","sampling_max_chain_seconds",20.503
"simulation_2","repo","total_max_chain_seconds",41.695
"simulation_2","semi","divergences",0
"simulation_2","semi","treedepth_hits",0
"simulation_2","semi","ebfmi_min",0.662811190029899
"simulation_2","semi","ebfmi_median",0.685309708760952
"simulation_2","semi","accept_mean",0.88195772207
"simulation_2","semi","leapfrog_median",31
"simulation_2","semi","leapfrog_q90",31
"simulation_2","semi","leapfrog_q99",31
"simulation_2","semi","leapfrog_mean",31
"simulation_2","semi","warmup_max_chain_seconds",26.144
"simulation_2","semi","sampling_max_chain_seconds",15.643
"simulation_2","semi","total_max_chain_seconds",41.099
